address,weight,idz,transaction
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,6,83.0905512,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1YMmMii9iQmdJACGXLWFXyrdzgmhQf98oi,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1Q6YxByahrNZist9PS3tHRL3vNxuwhMnyD,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1gB5yctY3fw4ZDneWTxbhr2EoZWXdM9VTB,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1QQktv4yNwSBdVNVEwShAVpNWUWT6scHBQ,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1ecAtwNdrsABBKa7Bvn9ZEq1Ze1EvS9WTW,12,166.1811024,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1g8ebKWczv15B9uxVnyySMeVh7u9ua2DXf,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1RpBHz34gUxPdxQgEycyjhVbZRitkRDmEp,1,13.8484252,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1eAtodiuCkhep5Xv6BYDn9wJ3MeK4ELojT,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1bBkoYeN1KLDWAYQDRT7UZQfSJem22J5SF,5,69.242126,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1SsZLCX7WJL4dwawG4fKDyPreU49bMBH6h,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1Souavcm3oYo1NMTTriKJegDBKQuS2PTje,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1hiLtkig3nYxJjMwa7BLw73isLJNpn3SST,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1fE99znpJ8M7ix3Ve874BxR6JsQAMebb7A,12,166.1811024,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1KssAq8Lofcu9MwuXqpvXh75ufZSCsLQun,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1iMfjNhpcUfDNCFTY5j2S3J6cY9NU8fKuv,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1eLD2pXPiZpb8ZH726C6SBVabget3HDYU9,12,166.1811024,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1STYtSyvfKrL46VYuJAKcgqDSDKK8ZwNyq,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1YEGaaSFDx3MT7NMYJJJqRs5RifeoSNQ9t,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1TYCg9BohhbLQqECKBAmQx5ZzijVTKCQwk,1,13.8484252,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1Z2uppkwiJDq7t8dwQkuEJyMTfzC9Uw1Fe,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1MQC1NZNgUHN9CY7NFEe4PrZA4GqGcajv2,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1QsWbwdJpUDPFZ9s1A1smAJfViabGniZaZ,12,166.1811024,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1fsz5x9dABLHt97kvXAa3LYomtu1BVrS7e,6,83.0905512,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1UJd94Mz9pyLzfC8SAZvTdDHUs5qkFvucK,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1hSU6qqaEfx76C8piv19xvydSSAb3Ah3Qa,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1WEHHVMWxQUtkWAgrJBFGXjJ5YqZVgfPVE,1,13.8484252,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz2SS7hFq7D7uEniCC9PoSd5BuL4tsFifzqd,9,124.63582679999999,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1VjMp3PezTy2NH1oa4gLqdNzeozU9V1rqP,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1KxdpoYVJUf3JiqhupYLP2hqmpsGDX84yH,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1cKAfChtENJtV2SV6phRpGAj7pbcov6tpt,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1WfZQbNtYX3ZgraqGChcWAQcbS5pKTWo4Z,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,12,166.1811024,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1XT3SAzJh47s5DxMJud63MWnvDftqWFtS3,12,166.1811024,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1SAE7bCrL7qxCm27nW3Ag8LwZLciza6JJZ,3,41.5452756,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1XybkRZWjLx3hwcy1hQ7PT6FWEhpHm1FBv,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1gsUr2fTHmSW7JWUWvN1aYjGzEGr5jNucp,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1T9XVQ8ZNV37f2tKZRjBLAg19TXLKyQprt,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1Z3RLuUgcDApYHZd2eqTEroaEBXTLjZiPo,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1WU8AxBsN9QqFXTQxjtPoG2mqCqsqjLkNX,12,166.1811024,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz2BXX5PPiytP7n8GmyReQnaDH9VWhaipqrR,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1dFhipRxR2TLFtiYHaoPZJpesJMASEVzaD,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1U1Pfo6gY5UKitBztSaAbmbwFxgmmN2oaP,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz2EBjXy2gXajVfej3Vemb5K4LPEu2dYQ5AJ,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1gWBiohUC7pe1xJG1xsSHP4mupcGudys4H,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1awYnsaPh1i9drbwkrWYEoREsHk4LHAdV4,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1gerK2mNUNiEet1CGwd9QGV6BHmqs7J65d,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1WxCJ3UpzyWsXmmkE1YjYzbBv6jXYkbFYV,9,124.63582679999999,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1ScoARpp9pPSewsBsiWhgik9nFhZybeJtt,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1bWh5kWxwh8i6hoCi3gSHg7oBbfY65vd6h,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1NiBqS165HwPpAF7PAxBQXx4yD4WhiuP8C,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1MM9YqZuifZMYxuvQDKMTr3iRafDPpo8Gu,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1QpMCaNiNJuALmuXTmPsEqX2pqR2X3LYKz,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1U3oYfu9yUrLcvbcN3LN5ECgXASzHhSmsK,9,124.63582679999999,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1gCE9BvVm74VjGcRJ45JGextYJ2grckUuZ,1,13.8484252,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1RSRuULmTkaXTjrhbFuNkE4mkJLRGPWJmy,9,124.63582679999999,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1Kov5QTgC5hya8zA51ThkAcQXAJ9xCNW3U,12,166.1811024,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1RqGP56Yco4YzipvneTZTRWpLLcymarXGQ,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1Qoen81nDjSs6zAH3KUGu6Nf3xdp1sowSu,9,124.63582679999999,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1aDwTa78acjYcFkpTV5ErS82FEvGbq6vb3,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1gamNQNTygVdTxwEdMyQhUfeWxjSXbTAtS,9,124.63582679999999,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1cmcGuErS2dGwedPVfxAE2aSVzUhM5iBov,12,166.1811024,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1iuW54JhJy9KdYWkTzShBxThz8Bn8K3YNk,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1RThe5ArWWSJaVoz14Kt8msS49qfaxnByJ,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1fw4TwoJt9p8zJKspkcMNXeEF1ZRNb8KrF,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1MeprwLHVYP8xzsjZRmti6v6cAVyWx78zZ,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1QwwD7bBrER8tCx845wjdForwHPCDWUsSZ,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1fXyJNXmobyrgcv77E9c2DM7CA4k4XaYgv,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1aarQ3z1kedkpAJe4XqWge2dGZVG1Bhyeo,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1hbfZwyr993NvYZnSGU4mth6qfYzrG15pT,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1c2ogTqeTK83b3RbZ3KBzVM9a2g2KpyEQL,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1ZcEzaBCsyMAbDQbHKxgytDeLNHiFTpPRD,8,110.7874016,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
tz1a92ZVmHDSqZ2dYbcrTZG9baK7bXSMRazZ,4,55.3937008,ooXidMmJAQxygHLrZcRzEKUN3SnbLvjfQfUa5EsBDWkCs3B1owW
